TransactionDate	Input	Output	Stock
2024-02-02	560	0	560
2024-02-03	0	0	560
2024-02-04	0	0	560
2024-02-05	0	0	560
2024-02-06	0	0	560
2024-02-07	0	0	560
2024-02-08	0	0	560
2024-02-09	0	0	560
2024-02-10	0	0	560
2024-02-11	0	0	560
2024-02-12	0	0	560
2024-02-13	0	0	560
2024-02-14	0	0	560
2024-02-15	0	0	560
2024-02-16	0	0	560
2024-02-17	0	0	560
2024-02-18	0	0	560
2024-02-19	0	0	560
2024-02-20	0	0	560
2024-02-21	0	0	560
2024-02-22	0	0	560
2024-02-23	0	0	560
2024-02-24	0	0	560
2024-02-25	0	0	560
2024-02-26	0	0	560
2024-02-27	0	0	560
2024-02-28	0	0	560
2024-02-29	0	0	560
2024-03-01	0	0	560
2024-03-02	0	0	560
2024-03-03	0	0	560
2024-03-04	0	0	560
2024-03-05	0	0	560
2024-03-06	1	0	561
2024-03-07	830	0	1391
2024-03-08	0	0	1391
2024-03-09	0	0	1391
2024-03-10	0	0	1391
2024-03-11	0	0	1391
2024-03-12	0	0	1391
2024-03-13	0	0	1391
2024-03-14	0	0	1391
2024-03-15	0	0	1391
2024-03-16	0	0	1391
2024-03-17	0	0	1391
2024-03-18	305	0	1696
2024-03-19	440	0	2136
2024-03-20	0	0	2136
2024-03-21	150	0	2286
2024-03-22	382	903	1765
2024-03-23	912	160	2517
2024-03-24	0	0	2517
2024-03-25	270	694	2093
2024-03-26	482	793	1782
2024-03-27	0	0	1782
2024-03-28	0	0	1782
2024-03-29	720	0	2502
2024-03-30	0	0	2502
2024-03-31	0	0	2502
2024-04-01	0	0	2502
2024-04-02	0	0	2502
2024-04-03	0	0	2502
2024-04-04	630	1343	1789
2024-04-05	180	334	1635
2024-04-06	0	0	1635
2024-04-07	0	0	1635
2024-04-08	0	0	1635
2024-04-09	0	0	1635
2024-04-10	0	0	1635
2024-04-11	0	0	1635
2024-04-12	721	0	2356
2024-04-13	0	0	2356
2024-04-14	0	0	2356
2024-04-15	591	1395	1552
2024-04-16	100	100	1552
2024-04-17	638	12	2178
2024-04-18	1986	1481	2683
2024-04-19	280	313	2650
2024-04-20	0	0	2650
2024-04-21	0	0	2650
2024-04-22	0	0	2650
2024-04-23	0	0	2650
2024-04-24	628	8	3270
2024-04-25	902	797	3375
2024-04-26	200	487	3088
2024-04-27	280	420	2948
2024-04-28	0	0	2948
2024-04-29	140	753	2335
